"","Hypotheses","Correlation"
"1","Month",0.4014427003935
"2","DayOfMonth",0.0694362755953138
"3","DayOfWeek",0.903699409707206
"4","UniqueCarrier",0.420594707469222
"5","FlightNumber",0.169571463910802
"6","TailNumber",0.424726917712966
"7","EstimatedElapsedTime",0.433556506016604
"8","Origin",0.608919118199626
"9","Destination",0.490895009016366
"10","Route",0.556789478252478
"11","Distance",0.0404438719848618
"12","DepartureTemperature",0.956476947651307
"13","DepartureVisability",0.98620275781043
"14","DepartureWindSpeed",0.991226690601103
"15","ArrivalTemperature",0.950755656147128
"16","ArrivalVisability",0.971585461217187
"17","ArrivalWindSpeed",0.983762817639661
